fiscal_year,employer,initial_approvals,initial_denials,continuing_approvals,continuing_denials,total_approvals,total_denials,total_petitions,sector,description,state,zip,county_name,county_fips
2009,AVSAR HOTEL ENTERPRISE INC,1,0,0,0,1,0,1,72,Accommodation and Food Services,KS,67209,Sedgwick,20173
2009,TRADEWIND ENERGY LLC,1,0,0,0,1,0,1,22,Utilities,KS,66219,Johnson,20091
2009,HEARTLAND WHEAT INC,1,0,0,0,1,0,1,72,Accommodation and Food Services,KS,67467,Ottawa,20143
2009,SEABOARD CORPORATION,0,0,1,0,1,0,1,48,Transportation and Warehousing,KS,66202,Johnson,20091
2009,W/K HOLDING COMPANY INC,2,0,0,0,2,0,2,32,Manufacturing,KS,66701,Bourbon,20011
2009,GENERALI USA LIFE REASSURANCE CO,1,0,0,0,1,0,1,52,Finance and Insurance,KS,66219,Johnson,20091
2009,BOMBARDIER AEROSPACE LEARJET INC,4,1,3,0,7,1,8,33,Manufacturing,KS,67209,Sedgwick,20173
2009,BOMBARDIER AEROSPACE LEARJET INC,0,0,2,0,2,0,2,33,Manufacturing,KS,,,
2009,THE COLEMAN COMPANY INC,0,0,1,0,1,0,1,33,Manufacturing,KS,67219,Sedgwick,20173
2009,CNN TECHNOLOGIES INC,1,0,3,1,4,1,5,54,"Professional, Scientific, and Technical Services",KS,66210,Johnson,20091
2009,INNOVATIONS INC,1,0,0,0,1,0,1,44,Retail Trade,KS,66046,Douglas,20045
2009,KMT WATERJET SYSTEMS INC,0,0,1,0,1,0,1,33,Manufacturing,KS,66713,Cherokee,20021
2009,THE INDIAN SPGS DENTAL CLINIC LLC,1,0,0,0,1,0,1,62,Health Care and Social Assistance,KS,66102,Wyandotte,20209
2009,7 STRATEGY LLC,0,1,0,0,0,1,1,99,Unknown,KS,66061,Johnson,20091
2009,MOBILE REASONING INC,1,0,0,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66219,Johnson,20091
2009,COFFEYVILLE RESOURCES REFINING & M,2,0,1,0,3,0,3,54,"Professional, Scientific, and Technical Services",KS,66103,Wyandotte,20209
2009,THINKGEO LLC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66047,Douglas,20045
2009,LEVEL FIVE SOLUTIONS INC,1,0,0,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66215,Johnson,20091
2009,DEVQ SOLUTIONS INC,0,0,2,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66224,Johnson,20091
2009,DEVQ SOLUTIONS INC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66224,Johnson,20091
2009,HCONN INC,4,4,1,0,5,4,9,54,"Professional, Scientific, and Technical Services",KS,66204,Johnson,20091
2009,HCONN INC,1,0,1,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66204,Johnson,20091
2009,SARA SOFTWARE SYSTEMS LLC,1,0,0,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66062,Johnson,20091
2009,FIRST ELEMENT ENERGY LLC,0,0,1,0,1,0,1,99,Unknown,KS,66219,Johnson,20091
2009,INNOVIA FILMS INC,0,0,2,0,2,0,2,32,Manufacturing,KS,66542,Shawnee,20177
2009,INEK TECHNOLOGIES LLC,15,11,9,0,24,11,35,54,"Professional, Scientific, and Technical Services",KS,66210,Johnson,20091
2009,VANGENT INC,0,0,3,0,3,0,3,54,"Professional, Scientific, and Technical Services",KS,66046,Douglas,20045
2009,MIDWEST FINANCIAL LLC,0,1,0,0,0,1,1,52,Finance and Insurance,KS,67147,Sedgwick,20173
2009,MID WEST FINANCIAL LLC,0,1,0,0,0,1,1,52,Finance and Insurance,KS,67209,Sedgwick,20173
2009,SPIRIT AEROSYSTEM INC,0,0,1,0,1,0,1,33,Manufacturing,KS,67210,Sedgwick,20173
2009,VICEROY SOLUTIONS INC,0,1,0,0,0,1,1,54,"Professional, Scientific, and Technical Services",KS,66210,Johnson,20091
2009,DYNAMIC IT SOLUTIONS INC,2,0,2,0,4,0,4,54,"Professional, Scientific, and Technical Services",KS,66062,Johnson,20091
2009,DYNAMIC ITSOLUTIONS INC,1,0,0,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66221,Johnson,20091
2009,ZEN INFORMATICS LLC,1,2,1,0,2,2,4,54,"Professional, Scientific, and Technical Services",KS,66202,Johnson,20091
2009,EMBARQ MANAGEMENT COMPANY,0,0,1,0,1,0,1,99,Unknown,KS,66211,Johnson,20091
2009,AK CONSULTING SVCS INC,0,0,2,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66614,Shawnee,20177
2009,EMBARQ,0,0,1,0,1,0,1,51,Information,KS,66211,Johnson,20091
2009,ADVANCED TECH GROUP INC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66210,Johnson,20091
2009,PRODUCT MANUFACTURING CO,3,0,0,1,3,1,4,33,Manufacturing,KS,67209,Sedgwick,20173
2009,DG BUSINESS SOLUTIONS INC,1,0,1,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66215,Johnson,20091
2009,METAPRO USA LLC,2,3,1,0,3,3,6,54,"Professional, Scientific, and Technical Services",KS,66210,Johnson,20091
2009,FUSION GLOBAL SOLUTIONS LLC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66216,Johnson,20091
2009,VIRTUOSO TECHNOLOGIES INC,0,1,0,0,0,1,1,54,"Professional, Scientific, and Technical Services",KS,66210,Johnson,20091
2009,FOCUS WEBEYE INC,4,5,0,0,4,5,9,54,"Professional, Scientific, and Technical Services",KS,66614,Shawnee,20177
2009,RAMSOFT CONSULTING INC,0,0,0,1,0,1,1,54,"Professional, Scientific, and Technical Services",KS,66223,Johnson,20091
2009,COMPUTERIZED ASSESSMENTS AND LEARN,3,0,1,0,4,0,4,61,Educational Services,KS,66044,Douglas,20045
2009,IOTAH INC,0,1,0,0,0,1,1,54,"Professional, Scientific, and Technical Services",KS,66213,Johnson,20091
2009,VIEGA LLC,1,1,0,0,1,1,2,31,Manufacturing,KS,67202,Sedgwick,20173
2009,XENOMETRICS LLC,0,0,1,0,1,0,1,62,Health Care and Social Assistance,KS,66086,Leavenworth,20103
2009,CHORD MEDIA GRP INC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66203,Johnson,20091
2009,TASTE OF CHINA FUQING INC,0,1,0,0,0,1,1,72,Accommodation and Food Services,KS,67901,Seward,20175
2009,KANSAS ENERGY LLC,0,0,1,0,1,0,1,99,Unknown,KS,66061,Johnson,20091
2009,WESTERN PLAINS PHYSICIANS PRACTICE,1,0,0,0,1,0,1,62,Health Care and Social Assistance,KS,67801,Ford,20057
2009,STAR SIGNS LLC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66044,Douglas,20045
2009,NUVENTO LLC,0,0,2,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66062,Johnson,20091
2009,NUVENTO LLC,1,0,1,2,2,2,4,54,"Professional, Scientific, and Technical Services",KS,66215,Johnson,20091
2009,KOCH MEMBRANE SYSTEMS INC,2,0,2,0,4,0,4,32,Manufacturing,KS,67220,Sedgwick,20173
2009,LAKHANI COMMERCIAL CORP,1,0,2,0,3,0,3,44,Retail Trade,KS,66202,Johnson,20091
2009,PRESBYTERIAN MANORS INC,1,2,0,0,1,2,3,62,Health Care and Social Assistance,KS,67208,Sedgwick,20173
2009,DCCCA INC,0,0,1,0,1,0,1,99,Unknown,KS,66047,Douglas,20045
2009,HORTON COMMUNITY HOSPITAL,2,0,0,0,2,0,2,62,Health Care and Social Assistance,KS,66439,Brown,20013
2009,SUNRISE OILFIELD SUPPLY,1,0,0,0,1,0,1,21,"Mining, Quarrying, and Oil and Gas Extraction",KS,67202,Sedgwick,20173
2009,SUMI LLC,0,0,1,0,1,0,1,72,Accommodation and Food Services,KS,66213,Johnson,20091
2009,SYNERGY STUDIO INC,1,0,0,0,1,0,1,62,Health Care and Social Assistance,KS,66213,Johnson,20091
2009,WISLER TREVINO & ROSENTHAL,0,0,2,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66049,Douglas,20045
2009,IMMEDIADENT OF OHIO P C,0,0,1,0,1,0,1,62,Health Care and Social Assistance,KS,66210,Johnson,20091
2009,ABACUS AMERICA INC D/B/A APLUS NET,0,0,1,0,1,0,1,99,Unknown,KS,66210,Johnson,20091
2009,HARLAN CORP,0,0,1,0,1,0,1,33,Manufacturing,KS,66115,Wyandotte,20209
2009,EATON CORP,1,0,0,0,1,0,1,33,Manufacturing,KS,,,
2009,THE GOODYEAR TIRE & RUBBER COMPANY,1,0,0,0,1,0,1,32,Manufacturing,KS,66618,Shawnee,20177
2009,AMSTED RAIL CO INC GRIFFIN WHEEL,0,0,1,0,1,0,1,33,Manufacturing,KS,66214,Johnson,20091
2009,BIOLOGIX RESEARCH COMPANY LLC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66215,Johnson,20091
2009,FLORENCE CORPORATION OF KANSAS,0,0,1,0,1,0,1,33,Manufacturing,KS,66503,Riley,20161
2009,ENT L L C,0,1,0,0,0,1,1,99,Unknown,KS,67206,Sedgwick,20173
2009,FLINT HILLS RESOURCES LP,1,0,0,0,1,0,1,32,Manufacturing,KS,67220,Sedgwick,20173
2009,CONTROL SYSTEMS INTERNATIONAL INC,0,0,2,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66214,Johnson,20091
2009,K I P CONSULTING & BUSINESS DEVELO,0,1,0,0,0,1,1,33,Manufacturing,KS,66205,Johnson,20091
2009,TERRACON CONSULTANTS INC,4,0,13,0,17,0,17,54,"Professional, Scientific, and Technical Services",KS,66061,Johnson,20091
2009,BRR ARCHITECTURE INC,1,0,3,0,4,0,4,54,"Professional, Scientific, and Technical Services",KS,66204,Johnson,20091
2009,DANISCO USA INC,1,0,0,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66031,Johnson,20091
2009,WALL TIES & FORMS INC,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66226,Johnson,20091
2009,DATA SYSTEMS INTL,0,0,3,0,3,0,3,54,"Professional, Scientific, and Technical Services",KS,66210,Johnson,20091
2009,HENDERSON ENGINEERS INC,1,0,1,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66214,Johnson,20091
2009,THE CHRISTIAN FDN FOR CHILDREN & A,0,0,1,0,1,0,1,54,"Professional, Scientific, and Technical Services",KS,66103,Wyandotte,20209
2009,CESSNA AIRCRAFT COMPANY,9,0,4,0,13,0,13,33,Manufacturing,KS,67215,Sedgwick,20173
2009,CESSNA AIRCRAFT CO,0,0,4,0,4,0,4,33,Manufacturing,KS,,,
2009,BLACK & VEATCH SPECIAL PROJECTS,0,0,2,0,2,0,2,54,"Professional, Scientific, and Technical Services",KS,66211,Johnson,20091
2009,GRAFTON INC,1,0,0,0,1,0,1,56,"Administrative, Support, and Other Services",KS,66212,Johnson,20091
2009,VICTORIAN PAPER COMPANY,0,0,1,0,1,0,1,32,Manufacturing,KS,66219,Johnson,20091
2009,FERRELLGAS,0,0,1,0,1,0,1,22,Utilities,KS,66210,Johnson,20091
