year,u1,u2,u3,u4,u5,u6
2003,1.7,2.9,5.4,5.6,6.3,9.5
2004,2.1,2.7,5.5,5.6,6.2,9.1
2005,1.6,2.5,5.1,5.2,5.8,8.5
2006,1.2,2,4.4,4.5,5.1,7.4
2007,1.1,1.7,4.1,4.2,4.7,7.3
2008,1.1,2.1,4.5,4.6,5.2,7.8
2009,2.9,4.3,6.8,7,7.6,11.5
2010,3.7,4.4,7.4,7.9,8.5,12.4
2011,3.5,3.9,6.7,7,7.8,12.1
2012,2.6,2.8,5.6,5.9,6.7,10.2
2013,2.3,2.7,5.6,5.9,6.8,11
2014,1.7,2.3,4.6,4.8,5.6,9.1
2015,1.6,2.1,4.3,4.6,5.2,8.2
2016,1.4,2.2,4.2,4.4,5,8.2
2017,1.1,1.8,3.6,3.7,4.2,6.9
2018,0.9,1.6,3.4,3.6,4,6
2019,0.8,1.4,3.1,3.3,3.7,5.7
