state,u1,u2,u3,u4,u5,u6
Alabama,1.1,2.9,4.5,4.8,5.3,7.6
Alaska,1.7,4.5,7.0,7.6,8.9,12.2
Arizona,1.3,3.7,6.3,6.5,7.5,11.3
Arkansas,1.1,3.1,5.0,5.3,6.0,9.0
California,1.7,4.9,7.0,7.2,7.9,12.4
Colorado,.8,3.4,5.1,5.4,5.8,10.1
Connecticut,1.5,3.8,5.3,5.7,6.4,10.5
Delaware,1.7,5.2,6.8,7.0,7.5,11.6
District of Columbia,2.6,3.1,6.2,6.4,7.3,9.3
Florida,1.2,3.9,5.6,6.0,6.8,10.6
Georgia,1.3,3.2,5.1,5.5,6.2,9.9
Hawaii,1.0,5.1,6.5,6.6,7.3,11.4
Idaho,.6,2.6,4.1,4.2,4.5,7.9
Illinois,1.5,4.8,6.5,6.8,7.4,10.8
Indiana,.9,4.1,5.7,5.9,6.4,9.3
Iowa,.8,3.1,4.5,4.6,5.2,8.0
Kansas,.6,3.0,4.6,4.7,5.1,8.0
Kentucky,1.5,3.9,5.8,5.9,6.6,9.2
Louisiana,2.0,4.3,6.8,7.2,8.0,11.6
Maine,.9,2.7,4.1,4.3,4.9,8.7
Maryland,1.1,3.0,4.7,4.8,5.4,8.2
Massachusetts,1.3,4.6,6.1,6.4,7.0,10.2
Michigan,1.2,5.6,7.6,7.8,8.5,12.0
Minnesota,.8,3.3,4.7,4.7,5.3,8.3
Mississippi,2.2,3.8,7.2,7.7,8.4,12.0
Missouri,.9,3.2,4.9,5.1,5.8,9.2
Montana,1.0,3.3,5.0,5.2,5.7,9.7
Nebraska,.9,2.1,4.0,4.2,4.7,7.5
Nevada,1.5,6.8,8.7,9.0,9.5,13.4
New Hampshire,.8,3.5,5.1,5.2,5.6,8.4
New Jersey,1.6,5.0,6.7,6.8,7.5,10.8
New Mexico,1.8,3.4,6.3,6.7,7.2,11.5
New York,1.7,4.6,6.6,7.0,7.8,11.3
North Carolina,1.2,3.6,5.5,5.8,6.6,9.8
North Dakota,.7,2.5,3.6,3.8,4.3,6.4
Ohio,1.1,4.2,6.8,6.9,7.6,11.1
Oklahoma,1.0,3.6,4.9,5.1,5.6,8.3
Oregon,1.2,3.9,5.9,6.0,6.8,11.2
Pennsylvania,1.8,4.7,7.1,7.3,8.1,11.5
Rhode Island,1.3,4.6,6.2,6.3,6.9,10.6
South Carolina,1.0,3.2,4.6,4.9,5.7,8.8
South Dakota,1.2,2.6,4.5,4.7,5.1,7.4
Tennessee,1.2,4.0,5.8,6.2,6.9,10.0
Texas,1.2,3.7,5.5,5.8,6.4,10.3
Utah,.6,2.5,4.0,4.1,4.4,7.2
Vermont,.7,3.6,4.7,4.9,5.6,8.7
Virginia,.9,2.8,4.4,4.6,5.2,8.5
Washington,1.5,4.5,6.3,6.5,7.2,10.9
West Virginia,1.9,4.4,6.5,6.9,7.4,11.0
Wisconsin,1.0,3.8,5.3,5.5,6.0,9.0
Wyoming,1.2,2.8,4.6,4.8,5.4,8.8
