fips1,county1_name,inflow,outflow,netflow
20001,Allen,957,1607,-650
20003,Anderson,776,614,162
20005,Atchison,1077,1295,-218
20007,Barber,221,119,102
20009,Barton,1273,2039,-766
20011,Bourbon,685,600,85
20013,Brown,432,750,-318
20015,Butler,4530,4828,-298
20017,Chase,167,170,-3
20019,Chautauqua,72,206,-134
20021,Cherokee,981,1285,-304
20023,Cheyenne,212,128,84
20025,Clark,103,249,-146
20027,Clay,554,244,310
20029,Cloud,560,411,149
20031,Coffey,662,366,296
20033,Comanche,79,80,-1
20035,Cowley,2405,2074,331
20037,Crawford,3575,1721,1854
20039,Decatur,307,79,228
20041,Dickinson,1199,1711,-512
20043,Doniphan,789,294,495
20045,Douglas,14892,12906,1986
20047,Edwards,45,96,-51
20049,Elk,153,191,-38
20051,Ellis,2286,2133,153
20053,Ellsworth,435,630,-195
20055,Finney,1672,2882,-1210
20057,Ford,2820,1715,1105
20059,Franklin,1564,2681,-1117
20061,Geary,5524,7958,-2434
20063,Gove,115,112,3
20065,Graham,110,506,-396
20067,Grant,306,633,-327
20069,Gray,294,394,-100
20071,Greeley,24,51,-27
20073,Greenwood,253,486,-233
20075,Hamilton,37,241,-204
20077,Harper,344,283,61
20079,Harvey,2621,2249,372
20081,Haskell,271,150,121
20083,Hodgeman,92,149,-57
20085,Jackson,865,1271,-406
20087,Jefferson,890,1583,-693
20089,Jewell,107,64,43
20091,Johnson,40769,38605,2164
20093,Kearny,259,536,-277
20095,Kingman,387,668,-281
20097,Kiowa,112,255,-143
20099,Labette,1035,1252,-217
20101,Lane,57,48,9
20103,Leavenworth,11808,9289,2519
20105,Lincoln,180,325,-145
20107,Linn,556,442,114
20109,Logan,181,134,47
20111,Lyon,2850,1659,1191
20113,McPherson,2000,1981,19
20115,Marion,528,562,-34
20117,Marshall,413,337,76
20119,Meade,302,204,98
20121,Miami,2126,1838,288
20123,Mitchell,392,348,44
20125,Montgomery,2084,2207,-123
20127,Morris,277,561,-284
20129,Morton,78,159,-81
20131,Nemaha,463,459,4
20133,Neosho,846,709,137
20135,Ness,100,23,77
20137,Norton,664,896,-232
20139,Osage,1072,1120,-48
20141,Osborne,247,325,-78
20143,Ottawa,233,278,-45
20145,Pawnee,1080,752,328
20147,Phillips,240,505,-265
20149,Pottawatomie,2202,1175,1027
20151,Pratt,756,527,229
20153,Rawlins,236,130,106
20155,Reno,4305,3912,393
20157,Republic,183,99,84
20159,Rice,798,1093,-295
20161,Riley,11724,10291,1433
20163,Rooks,185,247,-62
20165,Rush,171,206,-35
20167,Russell,380,694,-314
20169,Saline,4253,2877,1376
20171,Scott,408,253,155
20173,Sedgwick,26899,24448,2451
20175,Seward,1467,1125,342
20177,Shawnee,8498,7995,503
20179,Sheridan,215,92,123
20181,Sherman,330,529,-199
20183,Smith,178,90,88
20185,Stafford,402,416,-14
20187,Stanton,91,51,40
20189,Stevens,172,253,-81
20191,Sumner,1590,1301,289
20193,Thomas,635,720,-85
20195,Trego,303,14,289
20197,Wabaunsee,290,480,-190
20199,Wallace,110,46,64
20201,Washington,249,366,-117
20203,Wichita,118,102,16
20205,Wilson,395,495,-100
20207,Woodson,209,250,-41
20209,Wyandotte,11405,12642,-1237
