fips,state,county,state_name,hs_lower,unemployment_rate,poverty_rate,median_income,st_med_inc,med_inc_rate,est_chg,emp_chg,vacancy_rate,hs_rank,vacancy_rank,unemp_rank,poverty_rank,med_rank,est_rank,emp_rank,avg_rank,pct_rank,us_rank,hs_rank_st,vacancy_rank_st,unemp_rank_st,poverty_rank_st,med_rank_st,est_rank_st,emp_rank_st,avg_rank_st,pct_rank_st,st_rank,counties
01001,01,Autauga,Alabama,11.299999999999997,4.2,15.4,58786.0,48486.0,121.2,-1.6,3.3,8.7,1393.5,1083.5,891.5,1708.5,204.5,2384.0,715.0,1197.2,28.1,2261.0,6.0,5.0,3.0,15.0,4.0,51.5,13.0,13.9,7.5,63.0,67
01003,01,Baldwin,Alabama,9.700000000000003,4.4,10.6,55962.0,48486.0,115.39999999999999,2.3,4.1,21.4,1024.0,3031.0,1009.5,716.0,291.5,448.0,535.0,1007.9,18.5,2562.0,4.0,61.0,4.0,2.0,6.0,6.0,8.0,13.0,3.0,64.0,67
01005,01,Barbour,Alabama,27.0,9.5,28.9,34186.0,48486.0,70.5,1.3,2.1,14.7,3049.0,2436.5,2901.0,3027.0,2709.0,784.5,1121.5,2289.8,88.4,365.0,67.0,30.0,50.0,60.0,55.0,11.0,24.0,42.4,73.1,17.0,67
01007,01,Bibb,Alabama,16.799999999999997,7.5,14.0,45340.0,48486.0,93.5,3.2,1.0,23.5,2314.5,3085.0,2492.5,1405.5,1142.0,265.5,1571.0,1753.7,61.1,1223.0,27.0,64.0,36.5,8.5,21.0,3.0,33.5,27.6,23.9,48.0,67
01009,01,Blount,Alabama,19.799999999999997,4.1,14.4,48695.0,48486.0,100.4,1.1,0.4,13.7,2645.5,2255.5,842.5,1496.5,744.5,883.0,1801.5,1524.1,47.699999999999996,1645.0,49.0,22.5,2.0,10.0,12.0,14.5,36.0,20.9,16.400000000000002,56.0,67
01011,01,Bullock,Alabama,24.799999999999997,11.1,31.4,32152.0,48486.0,66.3,2.8,4.7,16.8,2983.0,2749.0,3018.5,3073.0,2864.0,335.0,448.0,2210.1,85.39999999999999,461.0,65.0,46.0,55.0,65.0,58.0,4.0,6.0,42.7,68.7,15.0,67
01013,01,Butler,Alabama,15.400000000000006,6.7,23.5,39109.0,48486.0,80.7,0.9,3.2,30.7,2129.5,3135.0,2209.0,2787.0,2069.5,978.0,747.5,2007.9,75.8,760.5,16.0,66.0,29.5,51.5,43.0,18.5,14.5,34.1,41.8,38.0,67
01015,01,Calhoun,Alabama,15.900000000000006,8.8,18.6,45197.0,48486.0,93.2,-1.2,0.1,14.2,2203.5,2346.5,2787.5,2307.5,1161.0,2208.0,1923.5,2133.9,82.3,558.0,21.0,26.0,47.5,32.5,22.5,46.0,40.0,33.6,56.699999999999996,39.0,67
01017,01,Chambers,Alabama,18.599999999999994,5.0,16.6,39872.0,48486.0,82.19999999999999,-0.2,0.2,15.7,2508.0,2609.0,1331.0,1979.0,1943.5,1666.0,1885.5,1988.9,74.7,796.0,36.5,37.0,6.5,20.0,39.0,33.5,38.0,30.1,38.800000000000004,44.0,67
01019,01,Cherokee,Alabama,19.799999999999997,5.6,15.0,41014.0,48486.0,84.6,-0.8,-1.7,16.7,2645.5,2740.0,1652.5,1627.5,1767.5,2016.5,2459.5,2129.9,82.1,563.0,49.0,45.0,13.5,11.0,32.5,39.5,56.5,35.3,55.2,34.5,67
01021,01,Chilton,Alabama,17.799999999999997,7.1,18.6,45182.0,48486.0,93.2,1.9,-0.4,11.8,2424.5,1849.0,2366.5,2307.5,1161.0,555.5,2095.5,1822.8,65.4,1088.0,32.0,13.5,34.0,32.5,22.5,8.0,44.0,26.6,31.3,49.0,67
01023,01,Choctaw,Alabama,18.599999999999994,10.6,22.2,34884.0,48486.0,71.89999999999999,0.8,5.7,19.7,2508.0,2955.5,2993.0,2696.0,2624.0,1026.5,328.5,2161.6,83.2,528.0,36.5,57.0,53.5,49.5,53.0,20.5,5.0,39.3,61.199999999999996,23.0,67
01025,01,Clarke,Alabama,18.799999999999997,14.4,25.4,36127.0,48486.0,74.5,-1.3,-1.5,16.9,2529.5,2759.0,3089.0,2909.0,2494.5,2254.5,2418.5,2636.3,97.6,77.0,38.0,47.5,64.0,55.0,50.0,48.0,53.0,50.8,92.5,6.0,67
01027,01,Clay,Alabama,24.5,6.4,18.4,41225.0,48486.0,85.0,1.1,4.4,15.8,2970.0,2625.5,2080.5,2279.0,1744.5,883.0,494.5,1868.1,68.0,1006.0,64.0,39.0,27.0,29.5,31.0,14.5,7.0,30.3,34.300000000000004,43.0,67
01029,01,Cleburne,Alabama,22.599999999999994,7.5,18.5,40188.0,48486.0,82.89999999999999,1.2,-1.6,12.3,2879.5,1955.5,2492.5,2292.5,1887.5,832.5,2438.5,2111.2,80.80000000000001,603.0,60.0,16.0,36.5,31.0,38.0,12.5,54.5,35.5,50.7,33.0,67
01031,01,Coffee,Alabama,13.799999999999997,5.9,15.1,53155.0,48486.0,109.60000000000001,-1.6,-1.2,12.5,1869.5,1997.0,1810.5,1652.5,419.0,2384.0,2326.5,1779.9,62.4,1182.0,10.5,18.0,21.0,12.0,8.0,51.5,50.0,24.4,25.4,52.0,67
01033,01,Colbert,Alabama,15.599999999999994,5.9,16.3,47558.0,48486.0,98.1,-0.9,1.7,15.4,2158.0,2557.5,1810.5,1908.0,853.0,2071.0,1294.0,1807.4,64.4,1119.5,18.0,34.5,21.0,19.0,16.0,42.0,27.0,25.4,29.9,51.0,67
01035,01,Conecuh,Alabama,19.200000000000003,11.5,22.2,33177.0,48486.0,68.4,4.6,3.9,32.4,2586.5,3137.0,3029.5,2696.0,2792.5,136.0,570.5,2135.4,82.39999999999999,553.0,43.0,67.0,56.5,49.5,56.0,2.0,9.0,40.4,58.199999999999996,20.5,67
01037,01,Coosa,Alabama,20.400000000000006,5.8,14.0,38301.0,48486.0,79.0,-2.1,2.2,20.9,2709.5,3013.5,1752.0,1405.5,2193.5,2572.5,1083.5,2104.3,80.5,614.0,52.0,60.0,18.0,8.5,45.0,58.5,21.5,37.6,49.3,25.0,67
01039,01,Covington,Alabama,17.099999999999994,8.7,18.3,40601.0,48486.0,83.7,-0.9,-1.6,16.9,2348.5,2759.0,2773.0,2264.5,1829.0,2071.0,2438.5,2354.8,90.9,288.0,28.0,47.5,45.0,27.5,36.0,42.0,54.5,40.1,77.60000000000001,22.0,67
01041,01,Crenshaw,Alabama,21.599999999999994,5.8,15.7,39812.0,48486.0,82.1,-0.5,-3.9,22.5,2807.5,3053.5,1752.0,1772.0,1954.5,1840.0,2822.0,2285.9,88.3,368.0,56.0,62.0,18.0,16.0,40.5,36.0,66.0,42.1,71.6,18.0,67
