fips,county,fair_poor,unhealthy,unhealthy_mental,low_birth,smoking,obesity,inactive,drinking,uninsured,unemp,child_pov,inc_ratio,high_school,some_college,soc_assoc,fair_poor_ind,unhealthy_ind,unhealthy_mental_ind,low_birth_ind,smoking_ind,obesity_ind,inactive_ind,drinking_ind,uninsured_ind,unemp_ind,child_pov_ind,inc_ratio_ind,high_school_ind,some_college_ind,soc_assoc_ind,healthy_index,wealthy_index,wise_index,healthy_quartile,wealthy_quartile,wise_quartile
20001,Allen,15,3.2,4.4,7.0,22,40,26,19,11,3.0,23,4.2,93,58,11.3,59.333333333333336,64.15789473684211,51.00000000000002,58.14285714285714,85.61538461538461,65.70588235294117,58.89473684210527,51.0,32.25,52.42857142857144,86.71428571428571,45.000000000000014,89.46153846153845,50.056603773584904,24.108384458077712,55.7972799979821,57.923752459139926,41.71160996687961,4th Quartile,4th Quartile,3rd Quartile
20003,Anderson,14,3.1,4.5,6.0,21,39,24,20,11,2.5,16,4.5,86,60,8.8,51.0,58.89473684210527,60.999999999999986,43.857142857142854,77.92307692307693,59.82352941176471,48.368421052631575,76.0,32.25,38.142857142857146,53.38095238095239,57.00000000000001,62.53846153846154,53.83018867924528,18.995910020449898,53.77806493407134,47.77809085588218,35.545285214035786,4th Quartile,3rd Quartile,2nd Quartile
20005,Atchison,14,3.1,4.2,7.0,20,36,24,20,9,3.8,17,4.2,94,58,13.7,51.0,58.89473684210527,31.000000000000014,58.14285714285714,70.23076923076923,42.17647058823529,48.368421052631575,76.0,19.75,75.28571428571428,58.14285714285714,45.000000000000014,93.3076923076923,50.056603773584904,29.016359918200408,46.206847454080595,57.18447938163687,41.4824100679805,3rd Quartile,4th Quartile,3rd Quartile
20007,Barber,15,3.3,4.6,6.0,21,40,26,19,13,1.9,16,4.7,91,60,25.2,59.333333333333336,69.42105263157893,70.99999999999994,43.857142857142854,77.92307692307693,65.70588235294117,58.89473684210527,51.0,44.75,21.0,53.38095238095239,65.00000000000001,81.76923076923077,53.83018867924528,52.533742331288344,58.12285641488089,40.76761301630294,48.93060836065774,4th Quartile,3rd Quartile,4th Quartile
20009,Barton,15,3.3,4.3,7.0,20,36,25,17,13,2.9,22,4.2,89,59,19.9,59.333333333333336,69.42105263157893,40.99999999999997,58.14285714285714,70.23076923076923,42.17647058823529,53.63157894736842,1.0,44.75,49.57142857142857,81.95238095238095,45.000000000000014,74.07692307692307,51.943396226415096,41.695296523517385,33.530991616481174,55.75470117678358,41.71741711525539,1st Quartile,4th Quartile,3rd Quartile
20011,Bourbon,15,3.4,4.2,7.0,21,40,25,18,10,3.7,22,4.1,90,60,13.2,59.333333333333336,74.68421052631578,31.000000000000014,58.14285714285714,77.92307692307693,65.70588235294117,53.63157894736842,26.0,26.0,72.42857142857143,81.95238095238095,40.99999999999999,77.92307692307693,53.83018867924528,27.993865030674847,47.49190522210337,61.43361048347527,42.38732072455812,3rd Quartile,4th Quartile,3rd Quartile
20013,Brown,15,3.4,4.5,6.0,22,38,27,19,12,2.7,19,3.6,94,62,21.1,59.333333333333336,74.68421052631578,60.999999999999986,43.857142857142854,85.61538461538461,53.94117647058824,64.15789473684211,51.0,38.5,43.85714285714287,67.66666666666666,21.000000000000004,93.3076923076923,57.60377358490566,44.149284253578735,56.5241361431881,38.647104101298794,44.859028760290265,4th Quartile,3rd Quartile,4th Quartile
20015,Butler,12,3.1,4.3,7.0,18,38,22,20,9,3.5,11,4.0,94,73,11.3,34.33333333333333,58.89473684210527,40.99999999999997,58.14285714285714,54.84615384615385,53.94117647058824,37.84210526315789,76.0,19.75,66.71428571428571,29.57142857142857,37.00000000000001,93.3076923076923,78.35849056603774,24.108384458077712,44.34187473403084,40.79242996535624,34.19821004696709,2nd Quartile,3rd Quartile,2nd Quartile
20017,Chase,12,2.9,4.2,6.73469387755102,18,36,22,20,10,2.4,15,3.5,93,63,0.0,34.33333333333333,48.368421052631575,31.000000000000014,54.352769679300295,54.84615384615385,42.17647058823529,37.84210526315789,76.0,26.0,35.285714285714285,48.61904761904761,17.0,89.46153846153845,59.490566037735846,1.0,41.82021832294253,29.781144286626734,9.759098713835638,2nd Quartile,2nd Quartile,1st Quartile
20019,Chautauqua,18,3.7,4.9,8.0,24,41,28,19,15,4.0,24,3.7,88,62,15.5,84.33333333333334,90.47368421052633,101.0,72.42857142857143,101.0,71.58823529411765,69.42105263157895,51.0,57.25,81.0,91.47619047619048,25.000000000000007,70.23076923076923,57.60377358490566,32.69734151329243,74.71723521935664,56.00474831832592,50.5291164086343,4th Quartile,4th Quartile,4th Quartile
